frame_index,timestamp_ms,tracked,hand_index,handedness,handedness_score,landmark_index,normalized_x,normalized_y,normalized_z,pixel_x,pixel_y,world_x_m,world_y_m,world_z_m
2,510874495,true,0,Right,0.962827,1,0.67033861,0.50946151,0.00677891,1287,550,-0.02198952,0.05912642,-0.00715137
2,510874495,true,0,Right,0.962827,2,0.67680897,0.48864591,0.00694508,1299,527,-0.01210208,0.04237399,0.01925859
2,510874495,true,0,Right,0.962827,3,0.68620846,0.47815949,0.00367257,1317,516,0.00087465,0.02420147,0.05133504
2,510874495,true,0,Right,0.962827,4,0.69399661,0.47172705,0.00073753,1332,509,0.00632960,0.01292100,0.06854031
2,510874495,true,0,Right,0.962827,5,0.67455421,0.45417353,0.01096390,1295,490,-0.01671129,0.00131082,0.01865059
2,510874495,true,0,Right,0.962827,6,0.68555763,0.42778629,0.00806758,1316,462,-0.00139135,-0.01195008,0.03150788
2,510874495,true,0,Right,0.962827,7,0.69468130,0.43414924,0.00525152,1333,468,0.01172099,-0.01331619,0.04456738
2,510874495,true,0,Right,0.962827,8,0.69798497,0.44597294,0.00405786,1340,481,0.01817209,-0.00243291,0.05823761
2,510874495,true,0,Right,0.962827,9,0.68030115,0.44589659,0.00469188,1306,481,-0.00584800,-0.00376411,0.00546310
2,510874495,true,0,Right,0.962827,10,0.69323769,0.41460170,0.00438423,1331,447,0.01460618,-0.02484975,0.01484791
2,510874495,true,0,Right,0.962827,11,0.70301682,0.42480546,0.00343695,1349,458,0.02465355,-0.02062147,0.02930555
2,510874495,true,0,Right,0.962827,12,0.70566330,0.43841141,0.00272574,1354,473,0.02922578,-0.01171840,0.04768277
2,510874495,true,0,Right,0.962827,13,0.68849598,0.44494992,-0.00202567,1321,480,0.01067149,-0.00309314,-0.01277457
2,510874495,true,0,Right,0.962827,14,0.70408309,0.41831825,-0.00188494,1351,451,0.03027261,-0.01706672,-0.00205542
2,510874495,true,0,Right,0.962827,15,0.71297969,0.43319676,-0.00157068,1368,467,0.04177953,-0.01086794,0.01116871
2,510874495,true,0,Right,0.962827,16,0.71422554,0.44920332,-0.00165683,1371,485,0.04601575,0.00267470,0.02494484
2,510874495,true,0,Right,0.962827,17,0.69916214,0.45032473,-0.00871068,1342,486,0.01971599,0.00812612,-0.02547336
2,510874495,true,0,Right,0.962827,18,0.71499753,0.43911882,-0.00709333,1372,474,0.04206588,0.00066647,-0.01806753
2,510874495,true,0,Right,0.962827,19,0.71993312,0.45209829,-0.00490968,1382,488,0.05362809,0.00454707,-0.00600482
2,510874495,true,0,Right,0.962827,20,0.71918068,0.46717378,-0.00354578,1380,504,0.05331175,0.01557029,0.00429364
3,510874560,true,0,Right,0.703417,0,0.66273609,0.52769453,0.00000001,1272,569,-0.01248351,0.04746402,-0.03541645
3,510874560,true,0,Right,0.703417,1,0.66318906,0.51786167,0.00152913,1273,559,-0.01548691,0.04846307,-0.01347361
3,510874560,true,0,Right,0.703417,2,0.66521723,0.51636969,-0.00276547,1277,557,-0.01099974,0.04345405,0.01116585
3,510874560,true,0,Right,0.703417,3,0.66601440,0.52366587,-0.00948674,1278,565,-0.00673961,0.03806414,0.04704120
3,510874560,true,0,Right,0.703417,4,0.66555199,0.53078889,-0.01653791,1277,573,-0.01147547,0.03276024,0.07074368
3,510874560,true,0,Right,0.703417,5,0.66423877,0.46465092,0.00254042,1275,501,-0.01599311,0.00375900,0.01459132
3,510874560,true,0,Right,0.703417,6,0.67593059,0.44880241,-0.00216163,1297,484,-0.00116840,-0.00682512,0.02704996
3,510874560,true,0,Right,0.703417,7,0.68542549,0.45431718,-0.00628670,1316,490,0.01200684,-0.00845333,0.03888539
3,510874560,true,0,Right,0.703417,8,0.68951782,0.46395333,-0.00866234,1323,501,0.01817543,0.00181616,0.04732237
3,510874560,true,0,Right,0.703417,9,0.66969085,0.45161856,-0.00086311,1285,487,-0.00581168,-0.00275185,0.00545873
3,510874560,true,0,Right,0.703417,10,0.68398571,0.42749250,-0.00257034,1313,461,0.01354434,-0.02332941,0.01539233
3,510874560,true,0,Right,0.703417,11,0.69465141,0.43717091,-0.00423916,1333,472,0.02350805,-0.01871310,0.02580960
3,510874560,true,0,Right,0.703417,12,0.69856892,0.45189893,-0.00569547,1341,488,0.02827172,-0.00981489,0.04244392
3,510874560,true,0,Right,0.703417,13,0.67743257,0.44698288,-0.00519799,1300,482,0.00992104,-0.00471679,-0.01056217
3,510874560,true,0,Right,0.703417,14,0.69412866,0.42606450,-0.00660708,1332,460,0.02787988,-0.01677234,0.00050892
3,510874560,true,0,Right,0.703417,15,0.70409602,0.44146533,-0.00748619,1351,476,0.04017454,-0.01053463,0.01047953
3,510874560,true,0,Right,0.703417,16,0.70651900,0.45954960,-0.00827963,1356,496,0.04536962,0.00334937,0.02138297
3,510874560,true,0,Right,0.703417,17,0.68740250,0.45063465,-0.01017270,1319,486,0.01784178,0.00280048,-0.02158420
3,510874560,true,0,Right,0.703417,18,0.70355272,0.44255917,-0.00990500,1350,477,0.03953011,-0.00215201,-0.01333919
3,510874560,true,0,Right,0.703417,19,0.70994898,0.45705697,-0.00877316,1363,493,0.05116827,0.00304843,-0.00434037
3,510874560,true,0,Right,0.703417,20,0.71002576,0.47480787,-0.00815999,1363,512,0.05200853,0.01614827,0.00293024
4,510874630,true,0,Right,0.918286,0,0.65545902,0.52914804,-0.00000001,1258,571,-0.01328849,0.05258741,-0.03812230
4,510874630,true,0,Right,0.918286,1,0.66281597,0.52503613,0.00350879,1272,567,-0.01187695,0.05336427,-0.01913245
4,510874630,true,0,Right,0.918286,2,0.66664880,0.51869638,0.00148299,1279,560,-0.00439254,0.04955984,0.00646249
4,510874630,true,0,Right,0.918286,3,0.66890808,0.51704218,-0.00377199,1284,558,-0.00199716,0.04484741,0.03899545
4,510874630,true,0,Right,0.918286,4,0.67021860,0.51574029,-0.00924534,1286,556,-0.00473342,0.03435818,0.06972112
4,510874630,true,0,Right,0.918286,5,0.66141139,0.46843365,0.00800870,1269,505,-0.01325360,0.00912018,0.01596660
4,510874630,true,0,Right,0.918286,6,0.67507383,0.46608085,0.00490548,1296,503,0.00638337,0.00513214,0.02438115
4,510874630,true,0,Right,0.918286,7,0.68515421,0.47654370,0.00056059,1315,514,0.01964278,0.00764860,0.02838197
4,510874630,true,0,Right,0.918286,8,0.68988959,0.48778508,-0.00216009,1324,526,0.03047816,0.02075481,0.01813438
4,510874630,true,0,Right,0.918286,9,0.66463671,0.45655022,0.00380236,1276,493,-0.00541772,-0.00247398,0.00652110
4,510874630,true,0,Right,0.918286,10,0.68055606,0.44645115,0.00250141,1306,482,0.01645798,-0.01625728,0.01166008
4,510874630,true,0,Right,0.918286,11,0.69149266,0.45954203,-0.00042720,1327,496,0.02896372,-0.00769551,0.00971382
4,510874630,true,0,Right,0.918286,12,0.69553152,0.47668381,-0.00217691,1335,514,0.03423819,0.00595254,0.00467810
4,510874630,true,0,Right,0.918286,13,0.66977727,0.44954692,-0.00136107,1285,485,0.00782546,-0.00742501,-0.01081557
4,510874630,true,0,Right,0.918286,14,0.68688712,0.43676873,-0.00312502,1318,471,0.02778564,-0.01665940,-0.00292407
4,510874630,true,0,Right,0.918286,15,0.69731639,0.45329781,-0.00495257,1338,489,0.04095711,-0.00764487,-0.00387306
4,510874630,true,0,Right,0.918286,16,0.70033679,0.47312185,-0.00596129,1344,510,0.04622440,0.00700856,-0.00934089
4,510874630,true,0,Right,0.918286,17,0.67700199,0.44919811,-0.00689809,1299,485,0.01502203,-0.00314152,-0.02414975
4,510874630,true,0,Right,0.918286,18,0.69262105,0.44087540,-0.00694858,1329,476,0.03563872,-0.01049913,-0.01743885
4,510874630,true,0,Right,0.918286,19,0.70038725,0.45486003,-0.00638883,1344,491,0.04969500,-0.00361881,-0.01388448
4,510874630,true,0,Right,0.918286,20,0.70236656,0.47307611,-0.00573102,1348,510,0.05118231,0.01131400,-0.01484321
5,510874699,true,0,Right,0.942451,0,0.65251431,0.52430806,-0.00000001,1252,566,-0.01644977,0.05359536,-0.04577242
5,510874699,true,0,Right,0.942451,1,0.66251935,0.52479885,0.00361357,1272,566,-0.01137648,0.05609346,-0.02818591
5,510874699,true,0,Right,0.942451,2,0.66768947,0.51697089,0.00305855,1281,558,-0.00063918,0.05412636,-0.00138234
5,510874699,true,0,Right,0.942451,3,0.67126043,0.51242758,-0.00035129,1288,553,0.00252788,0.04833782,0.02893400
5,510874699,true,0,Right,0.942451,4,0.67340959,0.50831804,-0.00365200,1292,548,0.00172725,0.03645739,0.06276142
5,510874699,true,0,Right,0.942451,5,0.66322454,0.46909733,0.01208409,1273,506,-0.01007264,0.01341982,0.01651220
5,510874699,true,0,Right,0.942451,6,0.67565296,0.46538903,0.01043320,1297,502,0.01087965,0.00874169,0.02463959
5,510874699,true,0,Right,0.942451,7,0.68489270,0.47374586,0.00673949,1314,511,0.02368307,0.00959749,0.02495069
5,510874699,true,0,Right,0.942451,8,0.68883188,0.48463456,0.00460659,1322,523,0.03347260,0.02238360,0.00669538
5,510874699,true,0,Right,0.942451,9,0.66527104,0.45835180,0.00796099,1277,495,-0.00476678,-0.00212591,0.00765063
5,510874699,true,0,Right,0.942451,10,0.67996619,0.44943266,0.00692316,1305,485,0.01860404,-0.01311602,0.01006042
5,510874699,true,0,Right,0.942451,11,0.68977059,0.46154727,0.00316645,1324,498,0.03104543,-0.00416804,0.00000482
5,510874699,true,0,Right,0.942451,12,0.69285016,0.47699595,0.00111477,1330,515,0.03588223,0.00878870,-0.01527821
5,510874699,true,0,Right,0.942451,13,0.66824918,0.44974553,0.00277950,1283,485,0.00520136,-0.01010706,-0.01094471
5,510874699,true,0,Right,0.942451,14,0.68360809,0.43854051,0.00058936,1312,473,0.02579838,-0.01700238,-0.00596206
