frame_index,timestamp_ms,tracked,hand_index,handedness,handedness_score,landmark_index,normalized_x,normalized_y,normalized_z,pixel_x,pixel_y,world_x_m,world_y_m,world_z_m
0,510759147,false,-1,,,,,,,,,,,
1,510759319,false,-1,,,,,,,,,,,
2,510759395,false,-1,,,,,,,,,,,
3,510759463,false,-1,,,,,,,,,,,
4,510759529,false,-1,,,,,,,,,,,
5,510759598,false,-1,,,,,,,,,,,
6,510759658,false,-1,,,,,,,,,,,
7,510759726,false,-1,,,,,,,,,,,
8,510759800,false,-1,,,,,,,,,,,
9,510759862,false,-1,,,,,,,,,,,
10,510759932,false,-1,,,,,,,,,,,
11,510759993,false,-1,,,,,,,,,,,
12,510760070,false,-1,,,,,,,,,,,
13,510760127,false,-1,,,,,,,,,,,
14,510760197,false,-1,,,,,,,,,,,
15,510760266,true,0,Left,0.978040,0,0.87385726,1.07528508,0.00000079,1677,1161,0.02956056,0.06116201,0.07481251
15,510760266,true,0,Left,0.978040,1,0.77523333,1.06478572,-0.05044853,1488,1149,-0.00065535,0.05577067,0.04879984
15,510760266,true,0,Left,0.978040,2,0.68440455,1.00574374,-0.09534669,1314,1086,-0.02104616,0.04811221,0.02635610
15,510760266,true,0,Left,0.978040,3,0.61382180,0.97439891,-0.13702781,1178,1052,-0.03968053,0.04191104,-0.00853826
15,510760266,true,0,Left,0.978040,4,0.54807818,0.97425556,-0.18449359,1052,1052,-0.05754874,0.03250363,-0.03227346
15,510760266,true,0,Left,0.978040,5,0.68543983,0.68265647,-0.09948010,1316,737,-0.02930882,0.00533979,-0.00143249
15,510760266,true,0,Left,0.978040,6,0.60994041,0.48092699,-0.15429349,1171,519,-0.04255116,-0.02172774,-0.01120320
15,510760266,true,0,Left,0.978040,7,0.56304771,0.35991639,-0.19377452,1081,388,-0.05382443,-0.03767192,-0.02037577
15,510760266,true,0,Left,0.978040,8,0.51831412,0.24516553,-0.22301854,995,264,-0.06781684,-0.04608878,-0.04952610
15,510760266,true,0,Left,0.978040,9,0.76786464,0.63779134,-0.11574941,1474,688,-0.00643574,-0.00415626,0.00204723
15,510760266,true,0,Left,0.978040,10,0.72028315,0.38270342,-0.16274546,1382,413,-0.01578966,-0.04197543,-0.01193404
15,510760266,true,0,Left,0.978040,11,0.68379205,0.22797796,-0.20194185,1312,246,-0.03189801,-0.05690257,-0.03200033
15,510760266,true,0,Left,0.978040,12,0.64992243,0.08286235,-0.23139748,1247,89,-0.04124551,-0.07413648,-0.05208924
15,510760266,true,0,Left,0.978040,13,0.85675889,0.66196090,-0.13518584,1644,714,0.01813497,-0.00488014,-0.00065388
15,510760266,true,0,Left,0.978040,14,0.82540381,0.41181287,-0.18594542,1584,444,0.00794391,-0.03456283,-0.01184124
15,510760266,true,0,Left,0.978040,15,0.79544330,0.25878087,-0.22427703,1527,279,-0.00279136,-0.05093626,-0.03420049
15,510760266,true,0,Left,0.978040,16,0.76622576,0.11465964,-0.25023600,1471,123,-0.01215615,-0.06702421,-0.05775318
15,510760266,true,0,Left,0.978040,17,0.94623005,0.72633219,-0.15694010,1816,784,0.03723377,0.00934030,0.00543287
15,510760266,true,0,Left,0.978040,18,0.95819807,0.53660816,-0.20758319,1839,579,0.03820933,-0.01484876,-0.00240694
15,510760266,true,0,Left,0.978040,19,0.95970118,0.40548539,-0.23137344,1842,437,0.03346230,-0.03441360,-0.01748797
15,510760266,true,0,Left,0.978040,20,0.95538563,0.27688688,-0.24584329,1834,299,0.03105386,-0.04808562,-0.03899069
16,510760323,true,0,Left,0.971089,0,0.84858545,1.04841046,0.00000097,1629,1132,0.02951373,0.06433523,0.06622174
16,510760323,true,0,Left,0.971089,1,0.73799443,1.02571474,-0.05193113,1416,1107,-0.00144765,0.05836654,0.04195546
16,510760323,true,0,Left,0.971089,2,0.63839031,0.96245242,-0.09983030,1225,1039,-0.02278408,0.05015081,0.02241798
16,510760323,true,0,Left,0.971089,3,0.55397090,0.93200706,-0.14450765,1063,1006,-0.04360947,0.04316738,-0.00961093
16,510760323,true,0,Left,0.971089,4,0.47669996,0.92390700,-0.19518859,915,997,-0.06330492,0.03496143,-0.02826294
16,510760323,true,0,Left,0.971089,5,0.66273913,0.60112420,-0.10050040,1272,649,-0.02932903,0.00601835,-0.00084889
16,510760323,true,0,Left,0.971089,6,0.59028984,0.40243403,-0.15797651,1133,434,-0.04187777,-0.02124043,-0.01026887
16,510760323,true,0,Left,0.971089,7,0.54389580,0.26859323,-0.20188459,1044,290,-0.05253068,-0.03721738,-0.01977626
16,510760323,true,0,Left,0.971089,8,0.49903171,0.14193038,-0.23459657,958,153,-0.06656382,-0.04681865,-0.04921323
16,510760323,true,0,Left,0.971089,9,0.74563694,0.54970314,-0.11755669,1431,593,-0.00597707,-0.00401146,0.00217960
16,510760323,true,0,Left,0.971089,10,0.69435711,0.29298294,-0.17088755,1333,316,-0.01630038,-0.04147106,-0.01140083
16,510760323,true,0,Left,0.971089,11,0.65341874,0.11409486,-0.21807076,1254,123,-0.03264691,-0.05686288,-0.03128970
16,510760323,true,0,Left,0.971089,12,0.61275973,-0.06149314,-0.25202329,1176,-66,-0.04288291,-0.07527148,-0.05100997
16,510760323,true,0,Left,0.971089,13,0.83498807,0.56778575,-0.13769098,1603,613,0.01806471,-0.00541599,-0.00072498
16,510760323,true,0,Left,0.971089,14,0.79430898,0.30486211,-0.19567357,1525,329,0.00795526,-0.03465044,-0.01065821
16,510760323,true,0,Left,0.971089,15,0.75554793,0.11586826,-0.24158153,1450,125,-0.00470290,-0.05300203,-0.03087062
16,510760323,true,0,Left,0.971089,16,0.71716965,-0.06970563,-0.27201784,1376,-75,-0.01552903,-0.07321095,-0.04989875
16,510760323,true,0,Left,0.971089,17,0.92671468,0.63566865,-0.15965905,1779,686,0.03759157,0.00860512,0.00355190
16,510760323,true,0,Left,0.971089,18,0.93264534,0.43133926,-0.21497814,1790,465,0.03798116,-0.01557923,-0.00275077
16,510760323,true,0,Left,0.971089,19,0.92718711,0.28600862,-0.24067115,1780,308,0.03316484,-0.03531817,-0.01667606
16,510760323,true,0,Left,0.971089,20,0.91586482,0.13599873,-0.25581846,1758,146,0.02909812,-0.05038701,-0.03585639
17,510760393,true,0,Left,0.985046,0,0.80488642,1.01889287,0.00000103,1545,1100,0.02770830,0.07170078,0.03688094
17,510760393,true,0,Left,0.985046,1,0.68534442,0.98709609,-0.06091831,1315,1066,-0.00375260,0.06229990,0.02370721
17,510760393,true,0,Left,0.985046,2,0.57176699,0.90939694,-0.11739623,1097,982,-0.02713429,0.05352666,0.01532923
17,510760393,true,0,Left,0.985046,3,0.46191389,0.86889528,-0.16918102,886,938,-0.05295677,0.04426533,-0.00259843
17,510760393,true,0,Left,0.985046,4,0.36275860,0.82548595,-0.22518159,696,891,-0.07654724,0.03494160,-0.00334524
17,510760393,true,0,Left,0.985046,5,0.62885189,0.52302014,-0.10258231,1207,564,-0.02939638,0.00621813,0.00232429
